respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Выберите язык,Возраст (количество полных лет),Пол,На каком предприятии Вы работаете?,,"Укажите компанию, в которой Вы работаете:",,К какой категории сотрудников Вы относитесь?,"Я испытываю напряжение, мне не по себе","Мне страшно. Кажется, будто что-то ужасное может вот-вот случиться",Беспокойные мысли крутятся у меня в голове,Я легко могу сесть и расслабиться,Я испытываю внутреннее напряжение или дрожь,"Я испытываю неусидчивость, словно мне постоянно нужно двигаться",У меня бывает внезапное чувство паники,"То, что приносило мне большое удовольствие, и сейчас вызывает у меня такое же чувство",Я способен рассмеяться и увидеть в том или ином событии смешное,Я чувствую себя бодрым,"Мне кажется, что я стал все делать очень медленно",Я не слежу за своей внешностью,"Я считаю, что мои дела (занятия, увлечения) могут принести мне чувство удовлетворения","Я могу получить удовольствие от хорошей книги, фильма, радио- или телепрограммы",Нуждаетесь ли Вы в психологической помощи?,"По вашему мнению, нуждаются ли ваши близкие в психологической помощи?","Знакомы ли вы с программой ERG Balance, программой психологической поддержки работников Группы?     ",Что бы вы хотели видеть в программе психологической поддержки работников Группы?,Жасы (толық жас саны),Сіздің жынысыңыз,На каком предприятии Вы работаете?,,Қандай компанияда жұмыс істейтініңізді көрсетіңіз,,Сіз қызметкерлердің қай санатына жатасыз?,"Мен қобалжушылықты сезінем, өзімді жайсыз сезінемін",Маған қорқынышты. Қорқынышты нәрсе болуы мүмкін сияқты,Басыма мазасыз ойлар келеді,"Мен отырып, бойымды еркін ұстай аламын",Мен ішкі қобалжуды немесе қорқынышты сезінемін,"Мен орнықсыздықты сезінемін, үнемі қозғалыста болуым керек сияқты",Менде кенеттен үрей пайда болады,"Бұрын маған үлкен рахат сыйлаған нәрсе, қазір де сондай сезімді сыйлайды",Мен күле аламын және сол немесе басқа оқиғада күлкілі нәрсені көре аламын,Мен өзімді сергек сезінемін,"Менің ойымша, мен бәрін өте баяу істей бастадым",Мен сыртқы келбетімді қадағаламаймын,"Менің істерім (іс-әрекеттерім, әуесқойлығым) маған қанағат сезімін сыйлайды деп санаймын","Мен жақсы кітап, фильм, радио немесе теледидар бағдарламасынан ләззат ала аламын",Сізге психологиялық көмек қажет пе?,Сіздің ойыңызша жақындарыңыз психологиялық көмекке мұқтаж ба?,Сіз ERG қызметкерлеріне психологиялық қолдау көрсету ERG Balance бағдарламасымен таныссыз ба?,ERG қызметкерлеріне психологиялық қолдау көрсету бағдарламасында не көргіңіз келеді?
118689854895,457631337,09/12/2024 07:16:04 AM,09/12/2024 07:16:22 AM,212.154.197.132,,,,,Русский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118689033153,457631337,09/11/2024 10:38:39 AM,09/12/2024 07:12:11 AM,212.154.179.150,,,,,Русский,27,Мужчина,Казхром (Донской ГОК),,,,Руководитель,"время от времени, иногда","иногда, но это меня не беспокоит",время от времени,лишь изредка это так,иногда,лишь в очень малой степени это так,не так уж часто,"наверное, это так","наверное, это так",иногда,иногда,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",редко,Нет,Нет,Да,нечего,,,,,,,,,,,,,,,,,,,,,,,,,
118689851165,457631337,09/12/2024 07:07:49 AM,09/12/2024 07:08:35 AM,185.229.84.4,,,,,Русский,40,Мужчина,Казхром (Актюбинский завод ферросплавов),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118689785238,457631337,09/12/2024 04:53:43 AM,09/12/2024 05:02:30 AM,212.96.80.32,,,,,Русский,56,Мужчина,ССГПО,,,,Руководитель,"время от времени, иногда","да, это так, но страх не очень сильный",время от времени,лишь изредка это так,иногда,"наверное, это так",совсем не бывает,лишь в очень малой степени это так,"наверное, это так",иногда,совсем нет,"я не уделяю этому столько времени, сколько нужно","да, но не в той степени, как раньше",часто,Нет,Нет,Нет,Без комментариев ,,,,,,,,,,,,,,,,,,,,,,,,,
118689603062,457631337,09/12/2024 12:37:26 AM,09/12/2024 12:56:07 AM,212.154.179.150,,,,,Русский,36,Мужчина,Казхром (Донской ГОК),,,,Руководитель,"время от времени, иногда",совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","определенно, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689560584,457631337,09/11/2024 11:48:02 PM,09/11/2024 11:53:08 PM,95.59.226.179,,,,,Русский,24,Мужчина,ЕЭК (Электрическая станция),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,лишь изредка это так,иногда,лишь в очень малой степени это так,не так уж часто,лишь в очень малой степени это так,"определенно, это так",практически все время,иногда,"я не уделяю этому столько времени, сколько нужно","значительно меньше, чем раньше",редко,Нет,Да,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689557242,457631337,09/11/2024 11:45:37 PM,09/11/2024 11:48:47 PM,95.58.141.227,,,,,Русский,36,Женщина,Алюминий Казахстана (ПАЗ),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",только иногда,"наверное, это так",иногда,совсем не испытываю,не так уж часто,"наверное, это так","наверное, это так",иногда,часто,"я не уделяю этому столько времени, сколько нужно","точно так, как и обычно",иногда,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689546670,457631337,09/11/2024 11:34:33 PM,09/11/2024 11:36:58 PM,212.96.81.106,,,,,Русский,48,Мужчина,ССГПО,,,,Рабочий,совсем не испытываю,"иногда, но это меня не беспокоит",только иногда,"определенно, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,лишь в очень малой степени это так,"определенно, это так",очень редко,часто,"может быть, я стал меньше уделять этому внимания","да, но не в той степени, как раньше",часто,Нет,Да,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689515513,457631337,09/11/2024 10:59:46 PM,09/11/2024 11:03:25 PM,46.42.242.81,,,,,Русский,32,Мужчина,КЭЗ,,,,Рабочий,все время,"определенно это так, и страх очень сильный",постоянно,лишь изредка это так,совсем не испытываю,"определенно, это так",совсем не бывает,лишь в очень малой степени это так,"наверное, это так",совсем не чувствую,совсем нет,"может быть, я стал меньше уделять этому внимания","точно так, как и обычно",иногда,Нет,Нет,Нет,Поддердку,,,,,,,,,,,,,,,,,,,,,,,,,
118689506503,457631337,09/11/2024 10:49:23 PM,09/11/2024 10:54:23 PM,5.76.178.122,,,,,Русский,50,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,все время,"да, это так, но страх не очень сильный",большую часть времени,совсем не могу,часто,совсем не испытываю,"действительно, очень часто",лишь в очень малой степени это так,лишь в очень малой степени это так,очень редко,часто,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689488830,457631337,09/11/2024 10:28:53 PM,09/11/2024 10:37:23 PM,2.76.64.50,,,,,Русский,56,Мужчина,ССГПО,,,,Рабочий,все время,"определенно это так, и страх очень сильный",большую часть времени,лишь изредка это так,иногда,"наверное, это так",не так уж часто,лишь в очень малой степени это так,лишь в очень малой степени это так,очень редко,часто,"я не уделяю этому столько времени, сколько нужно","да, но не в той степени, как раньше",иногда,Да,Да,Нет,Незнаю,,,,,,,,,,,,,,,,,,,,,,,,,
118689455226,457631337,09/11/2024 06:45:57 PM,09/11/2024 10:06:46 PM,85.117.120.236,,,,,Русский,47,Мужчина,ССГПО,,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так",лишь в очень малой степени это так,практически все время,совсем нет,"я слежу за собой так же, как и раньше","да, но не в той степени, как раньше",часто,Нет,Нет,Нет,Стабильности на предприятиях группы,,,,,,,,,,,,,,,,,,,,,,,,,
118689443434,457631337,09/11/2024 09:41:21 PM,09/11/2024 09:45:51 PM,92.63.181.186,,,,,Русский,30,Мужчина,ССГПО,,,,Рабочий,"время от времени, иногда",совсем не испытываю,время от времени,"определенно, это так",совсем не испытываю,совсем не испытываю,не так уж часто,лишь в очень малой степени это так,"определенно, это так",иногда,иногда,"я не уделяю этому столько времени, сколько нужно","да, но не в той степени, как раньше",иногда,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689443593,457631337,09/11/2024 09:40:56 PM,09/11/2024 09:42:32 PM,147.30.118.179,,,,,Русский,33,Женщина,Казхром (Аксуский завод ферросплавов),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118689436854,457631337,09/11/2024 09:33:49 PM,09/11/2024 09:37:28 PM,62.122.5.175,,,,,Русский,46,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,совсем не испытываю,не так уж часто,"определенно, это так","определенно, это так",практически все время,совсем нет,"я не уделяю этому столько времени, сколько нужно","да, но не в той степени, как раньше",часто,Нет,Нет,Нет,.,,,,,,,,,,,,,,,,,,,,,,,,,
118689432955,457631337,09/11/2024 09:29:24 PM,09/11/2024 09:30:27 PM,109.201.58.1,,,,,Русский,45,Мужчина,ССГПО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118686108340,457631337,09/06/2024 10:59:12 PM,09/11/2024 09:16:00 PM,147.30.111.108,,,,,Русский,37,Мужчина,КЭЗ,,,,Рабочий,часто,"определенно это так, и страх очень сильный",постоянно,лишь изредка это так,часто,"определенно, это так",довольно часто,это совсем не так,лишь в очень малой степени это так,совсем не чувствую,практически все время,определенно это так,совсем так не считаю,очень редко,Нет,Нет,Нет,....,,,,,,,,,,,,,,,,,,,,,,,,,
118689398660,457631337,09/11/2024 08:51:56 PM,09/11/2024 08:52:23 PM,85.117.127.88,,,,,Русский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118689349755,457631337,09/11/2024 07:59:45 PM,09/11/2024 08:04:01 PM,37.230.251.106,,,,,Русский,55,Женщина,Сервисный центр ERG,,,,Специалист,все время,совсем не испытываю,большую часть времени,лишь изредка это так,совсем не испытываю,совсем не испытываю,не так уж часто,"наверное, это так","определенно, это так",очень редко,часто,"я не уделяю этому столько времени, сколько нужно","значительно меньше, чем раньше",часто,Нет,Нет,Да,Не думала об этом,,,,,,,,,,,,,,,,,,,,,,,,,
118689319369,457631337,09/11/2024 07:25:43 PM,09/11/2024 07:29:05 PM,109.201.56.57,,,,,Русский,43,Мужчина,ССГПО,,,,Рабочий,часто,"да, это так, но страх не очень сильный",время от времени,лишь изредка это так,иногда,"наверное, это так",не так уж часто,лишь в очень малой степени это так,лишь в очень малой степени это так,очень редко,часто,"я не уделяю этому столько времени, сколько нужно","да, но не в той степени, как раньше",иногда,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689279378,457631337,09/11/2024 06:41:14 PM,09/11/2024 06:46:19 PM,46.42.246.78,,,,,Русский,44,Мужчина,Казхром (Аксуский завод ферросплавов),,,,Специалист,часто,"да, это так, но страх не очень сильный",большую часть времени,лишь изредка это так,часто,"наверное, это так","действительно, очень часто",лишь в очень малой степени это так,"наверное, это так",очень редко,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,"Помощь в правде от начальства, точнее указания по работе ",,,,,,,,,,,,,,,,,,,,,,,,,
118689273563,457631337,09/11/2024 06:34:38 PM,09/11/2024 06:36:44 PM,62.122.107.105,,,,,Русский,46,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда",совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,"определенно, это так",совсем не бывает,это совсем не так,"определенно, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689168252,457631337,09/11/2024 03:53:49 PM,09/11/2024 06:33:37 PM,62.122.0.92,,,,,Русский,26,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,"определенно, это так",совсем не бывает,"определенно, это так","наверное, это так",иногда,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",иногда,Нет,Нет,Нет,Ничего ,,,,,,,,,,,,,,,,,,,,,,,,,
118689269027,457631337,09/11/2024 06:28:57 PM,09/11/2024 06:32:12 PM,5.34.25.104,,,,,Русский,27,Мужчина,ССГПО,,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",большую часть времени,"определенно, это так",иногда,совсем не испытываю,не так уж часто,"определенно, это так","определенно, это так",иногда,совсем нет,"я не уделяю этому столько времени, сколько нужно","точно так, как и обычно",часто,Нет,Нет,Нет,Даже не знаю,,,,,,,,,,,,,,,,,,,,,,,,,
118689261780,457631337,09/11/2024 06:19:32 PM,09/11/2024 06:23:31 PM,85.117.113.164,,,,,Русский,35,Женщина,ССГПО,,,,Рабочий,"время от времени, иногда",совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","определенно, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689263903,457631337,09/11/2024 06:22:02 PM,09/11/2024 06:23:02 PM,2.75.224.49,,,,,Русский,40,Мужчина,Шубарколь Комир,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118689229937,457631337,09/11/2024 05:35:47 PM,09/11/2024 05:38:30 PM,46.42.238.151,,,,,Русский,37,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,все время,"да, это так, но страх не очень сильный",постоянно,"определенно, это так",иногда,"определенно, это так",не так уж часто,"определенно, это так","определенно, это так",иногда,часто,"я не уделяю этому столько времени, сколько нужно","точно так, как и обычно",часто,Нет,Нет,Да,Комунникабельность ,,,,,,,,,,,,,,,,,,,,,,,,,
118689225916,457631337,09/11/2024 05:29:45 PM,09/11/2024 05:33:42 PM,62.122.0.217,,,,,Русский,43,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,часто,"да, это так, но страх не очень сильный",время от времени,лишь изредка это так,часто,лишь в очень малой степени это так,не так уж часто,лишь в очень малой степени это так,лишь в очень малой степени это так,очень редко,иногда,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",иногда,Нет,Нет,Да,Меня все устраивает ,,,,,,,,,,,,,,,,,,,,,,,,,
118689213246,457631337,09/11/2024 05:10:55 PM,09/11/2024 05:20:39 PM,2.133.156.58,,,,,Русский,53,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,совсем не испытываю,"иногда, но это меня не беспокоит",только иногда,"определенно, это так",иногда,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","определенно, это так",иногда,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,Новые программы ,,,,,,,,,,,,,,,,,,,,,,,,,
118689215025,457631337,09/11/2024 05:12:33 PM,09/11/2024 05:13:48 PM,85.117.112.157,,,,,Русский,42,Мужчина,Качары руда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118689205279,457631337,09/11/2024 05:00:52 PM,09/11/2024 05:04:37 PM,178.90.59.128,,,,,Русский,27,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда",совсем не испытываю,только иногда,лишь изредка это так,иногда,"наверное, это так",совсем не бывает,"наверное, это так","наверное, это так",иногда,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689201538,457631337,09/11/2024 04:54:17 PM,09/11/2024 04:56:37 PM,37.151.118.2,,,,,Русский,24,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",время от времени,"определенно, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так",лишь в очень малой степени это так,практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",иногда,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689198543,457631337,09/11/2024 04:48:29 PM,09/11/2024 04:55:23 PM,178.89.141.190,,,,,Русский,33,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда","да, это так, но страх не очень сильный",постоянно,лишь изредка это так,очень часто,лишь в очень малой степени это так,"действительно, очень часто","наверное, это так",лишь в очень малой степени это так,очень редко,совсем нет,"я не уделяю этому столько времени, сколько нужно","точно так, как и обычно",иногда,Нет,Нет,Нет,.,,,,,,,,,,,,,,,,,,,,,,,,,
118689197610,457631337,09/11/2024 04:47:08 PM,09/11/2024 04:51:56 PM,178.91.217.133,,,,,Русский,32,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",время от времени,"определенно, это так",иногда,совсем не испытываю,совсем не бывает,"определенно, это так","определенно, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Да,Да,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689184906,457631337,09/11/2024 04:26:25 PM,09/11/2024 04:30:06 PM,37.150.210.97,,,,,Русский,35,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,лишь в очень малой степени это так,не так уж часто,"определенно, это так","наверное, это так",иногда,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689182557,457631337,09/11/2024 04:22:12 PM,09/11/2024 04:26:44 PM,164.0.95.54,,,,,Русский,37,Женщина,ТЭЦ (Алюминий Казахстана),,,,Рабочий,"время от времени, иногда",совсем не испытываю,время от времени,"определенно, это так",иногда,"наверное, это так",совсем не бывает,"определенно, это так","определенно, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,Ничего ,,,,,,,,,,,,,,,,,,,,,,,,,
118689182228,457631337,09/11/2024 04:21:47 PM,09/11/2024 04:26:33 PM,212.96.75.140,,,,,Русский,48,Мужчина,ССГПО,,,,Рабочий,"время от времени, иногда",совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,"определенно, это так",совсем не бывает,"определенно, это так","определенно, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,Отношения с руководством ,,,,,,,,,,,,,,,,,,,,,,,,,
118689181794,457631337,09/11/2024 04:20:53 PM,09/11/2024 04:24:33 PM,62.122.2.248,,,,,Русский,40,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда",совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,лишь в очень малой степени это так,не так уж часто,лишь в очень малой степени это так,"определенно, это так",иногда,иногда,"может быть, я стал меньше уделять этому внимания","да, но не в той степени, как раньше",часто,Нет,Нет,Нет,Все хорошо ,,,,,,,,,,,,,,,,,,,,,,,,,
118689178947,457631337,09/11/2024 04:15:35 PM,09/11/2024 04:19:48 PM,95.58.150.22,,,,,Русский,27,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда",совсем не испытываю,время от времени,лишь изредка это так,часто,совсем не испытываю,совсем не бывает,"наверное, это так","определенно, это так",иногда,иногда,"я не уделяю этому столько времени, сколько нужно","точно так, как и обычно",иногда,Да,Да,Да,Обратную связь,,,,,,,,,,,,,,,,,,,,,,,,,
118689177631,457631337,09/11/2024 04:13:47 PM,09/11/2024 04:17:08 PM,147.30.104.176,,,,,Русский,35,Мужчина,BTS,,,,Специалист,часто,"да, это так, но страх не очень сильный",время от времени,лишь изредка это так,иногда,совсем не испытываю,довольно часто,лишь в очень малой степени это так,"определенно, это так",иногда,иногда,"я слежу за собой так же, как и раньше","значительно меньше, чем раньше",иногда,Да,Нет,Да,Возможность проработки с психологом своих проблем,,,,,,,,,,,,,,,,,,,,,,,,,
118689179195,457631337,09/11/2024 04:16:24 PM,09/11/2024 04:16:56 PM,85.117.117.230,,,,,Русский,44,Женщина,ССГПО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118689174460,457631337,09/11/2024 04:07:41 PM,09/11/2024 04:11:16 PM,212.154.179.150,,,,,Русский,49,Женщина,Казхром (Донской ГОК),,,,Служащий,"время от времени, иногда","иногда, но это меня не беспокоит",время от времени,"определенно, это так",иногда,совсем не испытываю,совсем не бывает,это совсем не так,"наверное, это так",иногда,часто,"я не уделяю этому столько времени, сколько нужно","точно так, как и обычно",часто,Нет,Нет,Нет,затрудняюсь ответить,,,,,,,,,,,,,,,,,,,,,,,,,
118689171019,457631337,09/11/2024 04:00:30 PM,09/11/2024 04:03:14 PM,37.208.46.154,,,,,Русский,39,Мужчина,ССГПО,,,,Служащий,"время от времени, иногда",совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так","определенно, это так",иногда,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Да,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689167830,457631337,09/11/2024 03:53:16 PM,09/11/2024 03:57:09 PM,62.122.7.113,,,,,Русский,37,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда","да, это так, но страх не очень сильный",время от времени,"определенно, это так",иногда,совсем не испытываю,не так уж часто,лишь в очень малой степени это так,лишь в очень малой степени это так,очень редко,иногда,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",иногда,Нет,Нет,Да,. ,,,,,,,,,,,,,,,,,,,,,,,,,
118689167807,457631337,09/11/2024 03:53:25 PM,09/11/2024 03:55:44 PM,2.135.85.18,,,,,Русский,21,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",время от времени,"определенно, это так",иногда,"наверное, это так",не так уж часто,"определенно, это так","наверное, это так",иногда,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,-,,,,,,,,,,,,,,,,,,,,,,,,,
118689164891,457631337,09/11/2024 03:46:44 PM,09/11/2024 03:52:06 PM,2.135.72.11,,,,,Русский,48,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда",совсем не испытываю,время от времени,лишь изредка это так,совсем не испытываю,совсем не испытываю,не так уж часто,лишь в очень малой степени это так,лишь в очень малой степени это так,очень редко,практически все время,"я слежу за собой так же, как и раньше",совсем так не считаю,очень редко,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689165137,457631337,09/11/2024 03:47:25 PM,09/11/2024 03:51:06 PM,46.42.246.12,,,,,Русский,37,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",только иногда,"наверное, это так",совсем не испытываю,совсем не испытываю,не так уж часто,"наверное, это так","наверное, это так",очень редко,иногда,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",часто,Нет,Нет,Нет,Нечего ,,,,,,,,,,,,,,,,,,,,,,,,,
118689164091,457631337,09/11/2024 03:44:45 PM,09/11/2024 03:49:20 PM,62.122.104.12,,,,,Русский,31,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",только иногда,"наверное, это так",иногда,совсем не испытываю,не так уж часто,"определенно, это так","наверное, это так",иногда,иногда,"может быть, я стал меньше уделять этому внимания","точно так, как и обычно",часто,Нет,Нет,Да,.,,,,,,,,,,,,,,,,,,,,,,,,,
118689163077,457631337,09/11/2024 03:42:28 PM,09/11/2024 03:47:09 PM,2.76.169.217,,,,,Русский,32,Мужчина,ССГПО,,,,Специалист,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,лишь в очень малой степени это так,не так уж часто,"наверное, это так","наверное, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",иногда,Нет,Нет,Да,Да же не знаю что ответить ,,,,,,,,,,,,,,,,,,,,,,,,,
118689163474,457631337,09/11/2024 03:43:32 PM,09/11/2024 03:47:01 PM,37.151.119.158,,,,,Русский,31,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,"наверное, это так","наверное, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689161096,457631337,09/11/2024 03:37:59 PM,09/11/2024 03:40:36 PM,178.170.236.72,,,,,Русский,57,Женщина,КЭЗ,,,,Специалист,"время от времени, иногда","иногда, но это меня не беспокоит",время от времени,"наверное, это так",иногда,лишь в очень малой степени это так,не так уж часто,лишь в очень малой степени это так,лишь в очень малой степени это так,практически все время,часто,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",часто,Нет,Да,Да,нет предложений,,,,,,,,,,,,,,,,,,,,,,,,,
118689160489,457631337,09/11/2024 03:24:12 PM,09/11/2024 03:38:55 PM,176.98.232.114,,,,,Русский,35,Мужчина,BTS,,,,Специалист,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","определенно, это так",иногда,иногда,"может быть, я стал меньше уделять этому внимания","точно так, как и обычно",часто,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118689157322,457631337,09/11/2024 03:26:04 PM,09/11/2024 03:35:52 PM,95.82.115.200,,,,,Русский,49,Мужчина,ССГПО,,,,Рабочий,часто,совсем не испытываю,время от времени,лишь изредка это так,иногда,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","определенно, это так",очень редко,иногда,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",иногда,Нет,Нет,Нет,Человеческое отношение руководства ССГПО а не скотское 😡,,,,,,,,,,,,,,,,,,,,,,,,,
118689158285,457631337,09/11/2024 03:31:50 PM,09/11/2024 03:35:39 PM,164.0.71.204,,,,,Русский,57,Женщина,КЭЗ,,,,Специалист,часто,"иногда, но это меня не беспокоит",время от времени,"наверное, это так",часто,лишь в очень малой степени это так,не так уж часто,"наверное, это так",лишь в очень малой степени это так,практически все время,часто,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",часто,Нет,Да,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118689153667,457631337,09/11/2024 03:21:20 PM,09/11/2024 03:26:11 PM,89.42.61.43,,,,,Русский,34,Мужчина,Сервисный центр ERG,,,,Специалист,"время от времени, иногда",совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,лишь в очень малой степени это так,"определенно, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","да, но не в той степени, как раньше",иногда,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
